date,day_index,sand_storm_flag,dust_index,ambient_temperature_c,humidity_percent,vibration_rms_mm_s,discharge_temperature_c,discharge_pressure_bar,suction_pressure_bar,flow_rate_m3_min,bearing_oil_pressure_bar,bearing_oil_temperature_c,casing_temperature_c,dp_filter_bar,high_dp_alarm,failure,failure_mode,TTF_days,maintenance_oil_change,days_since_oil_change,health_state
2020-07-02,608,0,3.5,40.65,72.3,2.051,97.8,7.922,0.999,98.76,3.469,63.64,54.85,0.134,0,0,,111,0,67,early_warning
2020-07-03,609,0,16.0,33.6,68.8,1.92,90.41,8.06,1.012,99.13,3.339,62.24,54.28,0.101,0,0,,110,0,68,early_warning
2020-07-04,610,0,11.0,40.68,77.3,3.059,94.92,7.935,1.002,98.38,3.355,62.5,55.4,0.143,0,0,,109,0,69,early_warning
2020-07-05,611,0,5.0,36.99,79.3,2.018,95.38,7.905,1.005,99.95,3.409,62.48,54.35,0.168,1,0,,108,0,70,early_warning
2020-07-06,612,1,71.6,40.71,73.1,1.987,96.69,7.904,0.983,97.22,3.328,63.43,54.91,0.191,1,0,,107,0,71,early_warning
2020-07-07,613,0,7.4,37.06,74.0,1.958,96.06,8.022,1.017,100.06,3.336,61.84,54.07,0.104,0,0,,106,0,72,early_warning
2020-07-08,614,0,16.8,41.75,74.2,2.024,96.18,8.052,0.99,101.57,3.391,62.87,55.4,0.123,0,0,,105,0,73,early_warning
2020-07-09,615,1,99.8,40.2,75.7,1.981,97.38,7.967,0.963,98.13,3.337,63.53,55.4,0.146,0,0,,104,0,74,early_warning
2020-07-10,616,0,14.0,36.73,61.7,2.003,94.61,7.946,1.01,100.35,3.356,62.93,53.69,0.159,1,0,,103,0,75,early_warning
2020-07-11,617,0,6.3,36.92,69.4,2.059,93.1,7.944,1.003,98.55,3.327,63.14,54.9,0.131,0,0,,102,0,76,early_warning
2020-07-12,618,0,6.0,39.33,68.3,2.046,95.4,7.974,1.001,100.92,3.37,61.86,54.44,0.112,0,0,,101,0,77,early_warning
2020-07-13,619,0,10.8,41.67,72.3,2.045,95.21,8.08,1.005,97.88,3.369,61.74,55.33,0.113,0,0,,100,0,78,early_warning
2020-07-14,620,0,8.6,36.03,65.7,1.996,93.56,8.006,1.008,100.3,3.345,60.38,55.59,0.139,0,0,,99,0,79,early_warning
2020-07-15,621,0,7.4,39.68,75.2,1.98,94.44,8.045,0.983,102.03,3.342,62.45,55.29,0.162,1,0,,98,0,80,early_warning
2020-07-16,622,0,16.2,44.88,59.8,2.05,98.18,8.032,1.011,99.74,3.386,63.26,55.62,0.155,1,0,,97,0,81,early_warning
2020-07-17,623,0,3.5,41.15,68.1,2.058,95.69,7.976,1.014,99.48,3.312,63.06,55.61,0.132,0,0,,96,0,82,early_warning
2020-07-18,624,0,18.4,39.5,69.9,2.05,95.01,8.029,0.998,100.03,3.353,61.86,54.76,0.108,0,0,,95,0,83,early_warning
2020-07-19,625,0,2.4,36.01,61.6,2.021,92.33,8.078,0.994,100.25,3.316,62.68,54.47,0.138,0,0,,94,0,84,early_warning
2020-07-20,626,0,3.7,39.74,67.3,1.932,94.99,7.995,0.979,99.4,3.266,62.5,54.74,0.112,0,0,,93,0,85,early_warning
2020-07-21,627,0,16.5,39.55,61.8,2.062,96.49,7.947,1.005,100.1,3.293,62.59,55.68,0.144,0,0,,92,0,86,early_warning
2020-07-22,628,0,12.5,35.49,75.4,2.036,91.67,7.969,1.019,100.15,3.328,63.41,54.85,0.162,1,0,,91,0,87,early_warning
2020-07-23,629,0,7.1,38.3,61.0,2.016,95.46,7.923,1.01,100.36,3.3,62.1,55.09,0.153,1,0,,90,0,88,early_warning
2020-07-24,630,1,99.6,42.15,79.0,2.121,96.76,7.983,0.983,96.99,3.321,63.31,54.42,0.165,1,0,,89,0,89,early_warning
2020-07-25,631,0,5.6,35.91,78.0,2.06,93.21,8.016,0.979,101.12,3.317,63.54,55.48,0.164,1,0,,88,0,90,early_warning
2020-07-26,632,0,9.2,36.24,57.9,2.022,93.99,8.055,0.995,98.92,3.268,63.15,54.31,0.13,0,0,,87,0,91,early_warning
2020-07-27,633,0,3.6,39.34,59.1,1.988,95.04,8.054,0.998,100.69,3.311,62.59,55.09,0.146,0,0,,86,0,92,early_warning
2020-07-28,634,1,71.7,42.33,76.5,2.137,97.86,8.13,0.995,96.8,3.316,62.29,54.72,0.179,1,0,,85,0,93,early_warning
2020-07-29,635,0,11.5,36.04,59.8,2.054,92.26,8.028,0.996,98.9,3.252,62.92,54.52,0.162,1,0,,84,0,94,early_warning
2020-07-30,636,0,6.9,35.77,78.8,2.015,92.62,8.127,0.982,99.48,3.237,63.22,53.47,0.112,0,0,,83,0,95,early_warning
2020-07-31,637,1,82.2,37.9,77.0,2.101,97.25,7.975,0.993,95.8,3.301,64.08,55.66,0.187,1,0,,82,0,96,early_warning
2020-08-01,638,0,11.7,40.3,70.2,1.928,95.74,8.079,0.994,98.53,3.274,62.01,55.74,0.137,0,0,,81,0,97,early_warning
2020-08-02,639,0,12.2,40.7,75.4,1.998,96.34,8.121,1.015,98.86,3.272,63.6,55.14,0.137,0,0,,80,0,98,early_warning
2020-08-03,640,0,18.4,38.13,72.4,2.015,93.93,7.87,0.996,100.73,3.295,63.76,54.91,0.158,1,0,,79,0,99,early_warning
2020-08-04,641,0,14.2,40.89,80.2,1.997,96.69,8.034,1.001,101.71,3.297,61.92,54.49,0.166,1,0,,78,0,100,early_warning
2020-08-05,642,0,10.5,42.52,93.3,1.905,96.48,7.981,0.988,99.61,3.351,63.29,54.09,0.168,1,0,,77,0,101,early_warning
2020-08-06,643,0,2.6,35.54,66.1,2.018,92.76,8.04,0.998,101.01,3.261,63.97,54.51,0.158,1,0,,76,0,102,early_warning
2020-08-07,644,0,18.6,35.44,91.7,2.098,92.95,7.922,1.001,101.86,3.276,62.69,55.08,0.14,0,0,,75,0,103,early_warning
2020-08-08,645,0,1.3,39.03,71.5,2.034,94.13,8.04,0.997,102.22,3.324,63.82,55.02,0.16,1,0,,74,0,104,early_warning
2020-08-09,646,0,6.3,35.9,92.7,1.917,94.48,7.976,0.998,99.96,3.306,63.27,55.38,0.124,0,0,,73,0,105,early_warning
2020-08-10,647,0,1.5,37.36,73.4,1.967,93.49,7.972,0.99,101.46,3.287,63.85,53.94,0.105,0,0,,72,0,106,early_warning
2020-08-11,648,0,2.3,42.22,73.3,1.994,97.28,8.028,0.993,100.78,3.279,63.39,54.27,0.136,0,0,,71,0,107,early_warning
2020-08-12,649,0,18.2,37.75,81.1,1.959,92.61,8.034,1.002,100.51,3.279,63.72,55.54,0.116,0,0,,70,0,108,early_warning
2020-08-13,650,0,8.4,37.89,83.9,1.996,93.65,8.09,0.996,100.82,3.258,62.9,55.15,0.147,0,0,,69,0,109,early_warning
2020-08-14,651,0,5.0,43.4,85.1,2.0,96.31,7.957,1.013,100.3,3.294,63.51,55.5,0.11,0,0,,68,0,110,early_warning
2020-08-15,652,0,17.8,42.95,70.1,2.102,96.15,7.939,1.002,98.61,3.36,64.36,54.35,0.16,1,0,,67,0,111,early_warning
2020-08-16,653,0,19.8,40.84,88.1,2.005,94.29,8.022,1.011,100.28,3.274,63.26,55.35,0.165,1,0,,66,0,112,early_warning
2020-08-17,654,0,13.5,38.62,92.5,2.046,94.5,8.015,1.011,98.9,3.268,64.19,54.74,0.133,0,0,,65,0,113,early_warning
2020-08-18,655,0,17.3,37.82,66.0,2.027,93.79,7.935,1.003,100.63,3.247,63.22,55.45,0.126,0,0,,64,0,114,early_warning
2020-08-19,656,0,18.0,45.79,73.3,2.053,96.85,7.998,1.003,98.57,3.294,63.6,54.91,0.14,0,0,,63,0,115,early_warning
2020-08-20,657,0,8.0,40.4,68.0,2.007,93.35,8.007,0.985,99.93,3.255,63.76,54.35,0.105,0,0,,62,0,116,early_warning
2020-08-21,658,0,3.5,45.96,68.3,1.954,98.85,7.96,1.006,98.77,3.206,63.36,55.6,0.135,0,0,,61,0,117,early_warning
2020-08-22,659,0,2.4,41.35,88.7,1.99,97.05,7.966,0.998,101.71,3.286,62.8,55.67,0.134,0,0,,60,0,118,early_warning
2020-08-23,660,0,2.5,37.85,87.0,2.082,94.03,7.984,0.984,98.81,3.291,63.46,55.0,0.156,1,0,,59,0,119,early_warning
2020-08-24,661,0,5.5,36.32,73.4,2.011,93.45,8.014,0.986,100.97,3.243,63.92,54.68,0.139,0,0,,58,0,120,early_warning
2020-08-25,662,0,12.3,40.63,71.8,1.949,95.91,8.017,0.996,100.64,3.253,63.72,54.66,0.12,0,0,,57,0,121,early_warning
2020-08-26,663,0,0.3,41.46,70.9,1.998,95.98,8.132,1.012,101.38,3.296,62.08,54.75,0.13,0,0,,56,0,122,early_warning
2020-08-27,664,0,12.2,41.46,82.5,2.003,95.72,7.991,0.99,100.18,3.271,63.79,56.3,0.159,1,0,,55,0,123,early_warning
2020-08-28,665,0,4.7,34.87,93.6,1.925,90.91,7.979,0.99,99.44,3.29,64.11,54.47,0.128,0,0,,54,0,124,early_warning
2020-08-29,666,0,7.9,44.23,75.3,2.04,95.9,7.977,1.011,98.56,3.281,63.0,55.1,0.124,0,0,,53,0,125,early_warning
2020-08-30,667,1,75.2,37.09,87.2,2.037,92.91,7.944,1.005,97.14,3.147,64.9,54.86,0.18,1,0,,52,0,126,early_warning
2020-08-31,668,0,19.8,41.78,69.6,2.003,96.05,7.995,0.991,100.4,3.222,63.99,54.11,0.144,0,0,,51,0,127,early_warning
2020-09-01,669,0,15.6,35.36,76.8,2.038,91.28,7.966,1.009,100.44,3.209,63.78,55.61,0.165,1,0,,50,0,128,early_warning
2020-09-02,670,0,14.3,31.39,82.1,1.995,91.13,8.113,0.992,99.57,3.253,63.63,53.95,0.116,0,0,,49,0,129,early_warning
2020-09-03,671,0,17.1,38.77,62.0,2.057,94.01,7.956,0.997,100.08,3.201,63.99,54.63,0.128,0,0,,48,0,130,early_warning
2020-09-04,672,0,1.5,36.63,73.6,2.032,91.17,7.998,0.997,100.99,3.221,64.11,55.41,0.167,1,0,,47,0,131,early_warning
2020-09-05,673,0,0.2,36.84,83.8,1.993,94.42,7.966,0.994,100.0,3.228,65.89,55.0,0.126,0,0,,46,0,132,early_warning
2020-09-06,674,0,11.3,39.27,82.3,2.011,93.61,8.006,0.997,100.81,3.194,63.56,55.95,0.134,0,0,,45,0,133,early_warning
2020-09-07,675,0,14.1,38.36,82.6,1.9,93.01,7.963,1.022,99.39,3.21,64.92,54.43,0.162,1,0,,44,0,134,early_warning
2020-09-08,676,0,15.7,42.75,61.9,2.067,96.52,8.012,0.994,100.88,3.175,63.09,54.81,0.163,1,0,,43,0,135,early_warning
2020-09-09,677,0,10.9,32.73,61.2,1.989,91.48,7.986,1.025,98.86,3.196,64.78,55.88,0.153,1,0,,42,0,136,early_warning
2020-09-10,678,0,5.9,37.79,78.2,2.04,94.6,7.951,0.986,99.98,3.207,64.56,55.09,0.108,0,0,,41,0,137,early_warning
2020-09-11,679,0,9.6,42.89,83.8,1.965,93.34,8.017,0.998,101.66,3.205,64.14,54.24,0.105,0,0,,40,0,138,early_warning
2020-09-12,680,0,5.9,37.8,67.8,2.095,94.3,7.991,1.0,99.4,3.264,64.76,54.57,0.145,0,0,,39,0,139,early_warning
2020-09-13,681,0,8.6,37.09,68.7,2.019,92.61,7.999,1.008,99.91,3.227,62.97,55.74,0.144,0,0,,38,0,140,early_warning
2020-09-14,682,0,12.7,40.74,80.8,1.984,96.78,8.03,1.011,97.67,3.185,63.42,56.12,0.145,0,0,,37,0,141,early_warning
2020-09-15,683,0,14.3,36.13,63.8,1.888,92.91,7.942,1.001,99.31,3.212,65.0,56.34,0.128,0,0,,36,0,142,early_warning
2020-09-16,684,1,68.1,38.91,80.9,1.996,95.26,8.016,0.972,97.97,3.186,65.3,55.49,0.141,0,0,,35,0,143,early_warning
2020-09-17,685,0,2.2,39.13,58.2,1.997,93.54,8.022,1.013,99.47,3.21,64.82,55.01,0.165,1,0,,34,0,144,early_warning
2020-09-18,686,0,11.5,38.44,63.1,1.994,96.15,7.945,0.995,97.66,3.195,63.96,55.82,0.103,0,0,,33,0,145,early_warning
2020-09-19,687,0,8.5,39.96,59.4,2.079,94.38,8.091,0.987,100.25,3.206,64.32,55.05,0.162,1,0,,32,0,146,early_warning
2020-09-20,688,0,14.9,43.12,68.5,1.958,95.05,8.013,0.993,99.71,3.22,64.35,55.21,0.166,1,0,,31,0,147,early_warning
2020-09-21,689,0,17.6,40.21,65.2,1.968,95.5,8.009,1.004,100.54,3.216,63.2,54.21,0.117,0,0,,30,0,148,critical
2020-09-22,690,0,3.5,39.23,75.9,2.038,95.63,8.063,1.007,100.29,3.177,63.26,55.57,0.127,0,0,,29,0,149,critical
2020-09-23,691,0,15.2,37.71,79.4,1.986,94.13,8.0,1.011,100.81,3.188,64.2,54.35,0.124,0,0,,28,0,150,critical
2020-09-24,692,0,0.8,39.48,65.2,2.126,94.55,7.991,0.994,98.53,3.12,65.48,55.28,0.127,0,0,,27,0,151,critical
2020-09-25,693,0,8.4,33.29,79.9,1.992,90.64,8.043,1.003,99.51,3.237,63.8,55.74,0.124,0,0,,26,0,152,critical
2020-09-26,694,0,14.8,34.0,72.8,1.976,92.08,7.947,0.99,99.68,3.197,65.71,54.99,0.144,0,0,,25,0,153,critical
2020-09-27,695,0,11.7,36.85,55.9,2.029,92.38,8.074,1.015,101.28,3.188,63.96,53.68,0.169,1,0,,24,0,154,critical
2020-09-28,696,0,19.5,33.97,59.0,2.055,91.39,8.044,0.989,101.26,3.221,63.25,54.8,0.115,0,0,,23,0,155,critical
2020-09-29,697,0,1.7,35.72,61.1,1.965,91.97,7.971,0.994,101.52,3.238,64.28,54.81,0.142,0,0,,22,0,156,critical
2020-09-30,698,0,1.3,33.68,63.8,2.053,90.91,7.965,0.982,100.62,3.149,64.95,55.43,0.137,0,0,,21,0,157,critical
2020-10-01,699,0,19.3,35.06,67.3,2.098,94.13,7.969,0.994,100.86,3.237,64.91,54.75,0.12,0,0,,20,0,158,critical
2020-10-02,700,0,8.1,35.0,65.5,1.993,91.68,8.062,0.99,100.45,3.221,64.78,54.49,0.167,1,0,,19,0,159,critical
2020-10-03,701,0,11.2,27.34,45.8,1.954,89.77,7.947,1.009,99.41,3.159,65.14,55.67,0.126,0,0,,18,0,160,critical
2020-10-04,702,0,6.5,30.57,51.4,2.045,91.04,7.899,0.989,101.8,3.2,65.03,54.85,0.109,0,0,,17,0,161,critical
2020-10-05,703,0,17.4,34.45,68.8,2.076,94.67,7.973,1.018,99.23,3.19,63.48,54.72,0.14,0,0,,16,0,162,critical
2020-10-06,704,0,14.0,34.17,64.5,1.966,92.22,8.105,0.977,99.42,3.161,64.96,54.95,0.122,0,0,,15,0,163,critical
2020-10-07,705,0,3.2,36.89,62.9,2.118,92.62,7.998,1.004,100.33,3.201,64.0,54.58,0.13,0,0,,14,0,164,critical
2020-10-08,706,0,3.2,30.64,66.2,2.026,89.24,7.98,1.002,100.42,3.159,64.98,54.8,0.104,0,0,,13,0,165,critical
2020-10-09,707,0,10.8,28.21,55.5,2.032,88.39,8.029,0.995,101.67,3.141,64.24,55.39,0.132,0,0,,12,0,166,critical
2020-10-10,708,0,7.0,30.31,54.6,2.01,90.78,8.007,1.01,98.2,3.131,65.2,54.77,0.108,0,0,,11,0,167,critical
2020-10-11,709,0,2.2,35.29,51.1,2.113,93.86,8.001,0.989,100.09,3.15,65.11,55.13,0.113,0,0,,10,0,168,critical
2020-10-12,710,0,12.2,37.72,64.7,2.05,94.51,7.974,1.009,101.39,3.137,64.72,55.67,0.169,1,0,,9,0,169,critical
2020-10-13,711,0,0.3,36.58,54.0,1.968,94.37,7.959,1.011,101.44,3.125,64.27,55.61,0.129,0,0,,8,0,170,critical
2020-10-14,712,0,5.4,36.96,59.2,1.984,93.98,8.003,1.021,100.95,3.189,65.26,55.16,0.149,0,0,,7,0,171,critical
2020-10-15,713,0,4.6,32.73,63.4,1.986,91.09,7.94,1.011,99.14,3.12,65.72,55.92,0.108,0,0,,6,0,172,critical
2020-10-16,714,0,6.4,33.15,57.6,2.0,91.42,8.027,1.013,99.44,3.137,64.78,55.66,0.149,0,0,,5,0,173,critical
2020-10-17,715,0,3.3,33.97,64.1,1.983,91.95,7.999,1.003,99.29,3.127,64.05,55.33,0.147,0,0,,4,0,174,critical
2020-10-18,716,0,15.9,31.32,51.7,2.065,89.14,8.027,0.997,100.97,3.146,64.74,54.35,0.166,1,0,,3,0,175,critical
2020-10-19,717,0,10.5,28.98,56.4,1.991,88.24,7.964,0.987,101.14,3.198,65.55,56.06,0.109,0,0,,2,0,176,critical
2020-10-20,718,0,6.1,31.73,45.2,2.004,89.85,7.961,0.989,100.29,3.105,66.08,54.51,0.143,0,0,,1,0,177,critical
2020-10-21,719,0,4.9,24.13,47.0,3.199,99.32,7.985,0.961,70.38,2.422,72.38,60.28,0.05,0,1,bearing_failure,0,0,178,failure
2020-10-22,720,0,17.5,28.61,46.8,1.96,90.47,7.963,0.995,99.0,3.139,65.11,54.75,0.143,0,0,,89,0,179,early_warning
2020-10-23,721,0,17.1,33.29,54.5,2.069,91.74,8.067,1.001,99.41,3.53,60.15,55.88,0.112,0,0,,88,1,0,early_warning
2020-10-24,722,0,6.0,31.56,53.8,1.966,91.04,8.001,1.002,99.32,3.453,60.35,54.93,0.141,0,0,,87,0,1,early_warning
2020-10-25,723,0,18.1,36.24,56.5,1.993,92.97,7.964,1.001,102.13,3.499,60.61,55.89,0.132,0,0,,86,0,2,early_warning
2020-10-26,724,0,5.5,27.55,45.9,2.024,89.97,8.057,1.012,100.5,3.575,60.02,55.17,0.101,0,0,,85,0,3,early_warning
2020-10-27,725,0,6.5,33.37,66.2,1.888,91.52,8.02,0.992,100.22,3.494,59.41,55.24,0.1,0,0,,84,0,4,early_warning
2020-10-28,726,0,18.4,29.84,48.9,1.994,88.66,7.978,1.011,99.05,3.474,59.81,55.05,0.119,0,0,,83,0,5,early_warning
2020-10-29,727,0,19.0,35.41,60.6,1.99,91.32,7.948,1.01,99.36,3.503,61.87,54.58,0.144,0,0,,82,0,6,early_warning
2020-10-30,728,0,7.1,30.77,59.5,2.018,89.93,8.06,1.008,99.28,3.518,59.22,54.61,0.124,0,0,,81,0,7,early_warning
2020-10-31,729,0,8.3,30.08,45.5,1.937,89.95,8.016,1.003,100.53,3.495,59.92,55.17,0.143,0,0,,80,0,8,early_warning
2020-11-01,730,0,10.0,21.19,63.5,2.08,86.69,7.954,1.01,97.16,3.498,61.28,55.23,0.152,1,0,,79,0,9,early_warning
2020-11-02,731,0,16.3,29.46,59.6,2.045,89.54,7.966,1.005,100.2,3.48,60.72,55.75,0.136,0,0,,78,0,10,early_warning
2020-11-03,732,0,3.9,22.72,45.9,1.981,85.07,7.967,1.017,97.07,3.45,60.81,55.29,0.151,1,0,,77,0,11,early_warning
2020-11-04,733,0,5.3,20.97,63.2,2.057,85.38,7.979,1.01,100.62,3.452,61.53,54.21,0.156,1,0,,76,0,12,early_warning
2020-11-05,734,0,15.6,29.22,45.7,2.029,89.57,8.037,1.014,99.29,3.456,59.97,54.27,0.117,0,0,,75,0,13,early_warning
2020-11-06,735,0,15.8,19.06,58.9,1.959,85.0,7.94,0.995,99.48,3.525,60.96,55.16,0.128,0,0,,74,0,14,early_warning
2020-11-07,736,0,17.2,24.73,44.1,2.1,86.36,7.961,1.002,99.17,3.467,60.56,54.41,0.105,0,0,,73,0,15,early_warning
2020-11-08,737,0,11.0,28.78,48.6,2.007,90.18,8.026,1.007,102.19,3.488,60.5,55.16,0.136,0,0,,72,0,16,early_warning
2020-11-09,738,0,2.4,17.73,50.7,1.987,84.06,8.015,0.997,100.4,3.472,60.85,54.5,0.114,0,0,,71,0,17,early_warning
2020-11-10,739,0,10.6,25.21,43.5,1.994,86.65,8.093,0.996,99.71,3.469,60.48,55.72,0.107,0,0,,70,0,18,early_warning
2020-11-11,740,0,11.1,28.95,57.9,1.993,89.84,8.014,1.007,100.1,3.502,60.38,54.75,0.127,0,0,,69,0,19,early_warning
2020-11-12,741,0,19.4,22.17,56.4,1.951,87.87,8.018,1.01,101.2,3.442,61.38,54.08,0.143,0,0,,68,0,20,early_warning
2020-11-13,742,0,17.5,29.25,46.6,1.977,90.14,8.001,0.993,100.61,3.439,60.68,55.75,0.162,1,0,,67,0,21,early_warning
2020-11-14,743,0,14.9,23.57,44.1,1.95,87.42,7.941,0.995,102.11,3.444,59.05,54.47,0.109,0,0,,66,0,22,early_warning
2020-11-15,744,0,14.3,24.76,59.6,1.912,87.35,8.058,0.993,100.2,3.452,60.82,56.15,0.141,0,0,,65,0,23,early_warning
2020-11-16,745,0,10.1,26.22,41.5,2.004,87.8,7.999,1.013,98.68,3.453,60.32,54.33,0.111,0,0,,64,0,24,early_warning
2020-11-17,746,0,17.5,26.11,55.5,2.018,89.1,7.968,1.014,102.37,3.416,60.83,53.95,0.1,0,0,,63,0,25,early_warning
2020-11-18,747,0,12.6,22.37,64.4,1.992,85.47,8.028,1.004,101.58,3.49,59.98,54.32,0.123,0,0,,62,0,26,early_warning
2020-11-19,748,0,16.7,26.78,60.9,2.013,87.7,8.018,0.987,101.52,3.465,59.71,55.34,0.114,0,0,,61,0,27,early_warning
2020-11-20,749,0,0.4,23.53,50.9,2.146,87.27,8.004,0.995,99.6,3.451,80.33,54.97,0.117,0,0,,60,0,28,early_warning
2020-11-21,750,0,10.8,25.26,48.8,1.971,87.26,8.037,1.012,101.23,3.485,59.61,55.01,0.158,1,0,,59,0,29,early_warning
2020-11-22,751,0,2.8,31.54,52.5,1.981,90.76,7.958,1.022,99.75,3.414,60.21,54.58,0.125,0,0,,58,0,30,early_warning
2020-11-23,752,0,4.5,24.33,43.0,2.034,87.01,7.939,1.011,100.21,3.403,61.6,54.64,0.126,0,0,,57,0,31,early_warning
2020-11-24,753,0,5.8,24.55,63.3,1.951,87.57,8.073,0.992,98.73,3.455,59.72,54.63,0.113,0,0,,56,0,32,early_warning
2020-11-25,754,0,7.1,23.48,44.3,2.013,87.3,7.996,0.985,98.37,3.449,62.05,55.63,0.144,0,0,,55,0,33,early_warning
2020-11-26,755,0,9.5,22.1,46.7,1.969,88.18,7.988,0.991,99.48,3.401,60.3,54.73,0.167,1,0,,54,0,34,early_warning
2020-11-27,756,0,15.0,27.31,43.4,1.992,88.98,7.956,0.993,99.39,3.406,61.79,54.81,0.139,0,0,,53,0,35,early_warning
2020-11-28,757,0,3.4,26.35,42.3,2.039,87.73,8.06,1.026,99.34,3.41,61.33,54.72,0.152,1,0,,52,0,36,early_warning
2020-11-29,758,0,10.1,21.07,42.4,1.959,86.8,7.938,0.996,97.63,3.443,61.56,55.0,0.146,0,0,,51,0,37,early_warning
2020-11-30,759,0,7.4,26.12,61.1,1.935,87.15,8.049,1.008,99.04,3.404,60.99,54.91,0.134,0,0,,50,0,38,early_warning
2020-12-01,760,0,4.0,16.35,51.0,1.917,84.73,7.954,0.974,99.11,3.412,61.46,55.4,0.121,0,0,,49,0,39,early_warning
2020-12-02,761,0,10.9,19.53,55.3,2.026,84.53,7.96,1.004,100.29,3.428,60.43,54.75,0.125,0,0,,48,0,40,early_warning
2020-12-03,762,0,4.9,25.27,63.7,2.076,85.88,7.948,0.983,101.23,3.438,61.87,56.15,0.135,0,0,,47,0,41,early_warning
2020-12-04,763,0,0.9,19.3,60.7,2.006,85.76,7.959,0.996,99.1,3.467,61.19,55.5,0.108,0,0,,46,0,42,early_warning
2020-12-05,764,0,1.1,17.64,48.5,1.946,85.05,8.035,0.994,100.54,3.391,61.49,54.45,0.141,0,0,,45,0,43,early_warning
2020-12-06,765,0,9.0,18.29,59.9,1.983,81.85,7.963,1.0,101.75,3.47,61.6,54.18,0.127,0,0,,44,0,44,early_warning
2020-12-07,766,0,1.3,20.61,61.1,2.019,85.67,7.9,1.004,99.27,3.412,61.79,53.95,0.16,1,0,,43,0,45,early_warning
2020-12-08,767,0,9.6,25.13,65.6,1.992,87.58,7.975,1.019,99.27,3.387,62.13,54.92,0.129,0,0,,42,0,46,early_warning
2020-12-09,768,0,7.2,18.36,61.1,1.958,85.2,8.011,0.997,99.35,3.404,62.44,55.03,0.109,0,0,,41,0,47,early_warning
2020-12-10,769,0,7.1,19.01,53.3,2.054,86.3,7.989,0.992,101.2,3.395,62.36,54.72,0.136,0,0,,40,0,48,early_warning
2020-12-11,770,0,9.6,22.47,59.6,2.013,86.14,7.952,0.986,101.7,3.375,62.02,54.59,0.11,0,0,,39,0,49,early_warning
2020-12-12,771,0,15.8,20.82,68.9,1.959,85.64,8.071,1.013,99.81,3.423,60.82,53.45,0.121,0,0,,38,0,50,early_warning
2020-12-13,772,0,4.1,19.3,60.5,1.942,87.17,8.1,0.991,97.85,3.408,60.51,56.02,0.149,0,0,,37,0,51,early_warning
2020-12-14,773,0,1.1,20.77,67.6,2.05,85.45,7.995,0.992,100.28,3.404,60.89,54.71,0.116,0,0,,36,0,52,early_warning
2020-12-15,774,0,17.4,20.37,68.3,2.03,85.52,7.997,1.011,99.51,3.471,61.3,55.22,0.112,0,0,,35,0,53,early_warning
2020-12-16,775,0,14.7,19.12,60.8,2.012,85.75,8.057,1.004,99.25,3.392,61.35,54.58,0.117,0,0,,34,0,54,early_warning
2020-12-17,776,0,3.4,20.23,62.7,2.114,85.54,7.896,0.999,98.93,3.394,61.07,54.79,0.14,0,0,,33,0,55,early_warning
2020-12-18,777,0,4.7,17.13,63.1,2.044,83.68,7.992,0.993,99.73,3.389,61.83,55.18,0.161,1,0,,32,0,56,early_warning
2020-12-19,778,0,11.8,22.37,66.9,1.984,85.87,7.999,0.983,99.82,3.403,62.0,55.49,0.167,1,0,,31,0,57,early_warning
2020-12-20,779,0,13.1,19.87,70.0,2.066,83.99,7.939,1.001,100.6,3.38,60.91,54.92,0.141,0,0,,30,0,58,critical
2020-12-21,780,0,5.9,17.71,56.8,2.021,83.67,7.987,1.003,99.59,3.369,61.98,54.36,0.124,0,0,,29,0,59,critical
2020-12-22,781,0,10.2,19.29,55.0,1.992,85.58,8.025,1.012,100.68,3.432,62.2,55.59,0.119,0,0,,28,0,60,critical
2020-12-23,782,0,12.5,21.86,55.1,2.036,86.27,8.059,1.0,101.52,3.385,62.2,54.88,0.107,0,0,,27,0,61,critical
2020-12-24,783,0,7.0,13.57,58.2,2.045,81.72,8.028,1.008,99.73,3.379,61.87,55.18,0.16,1,0,,26,0,62,critical
2020-12-25,784,0,11.1,14.4,67.9,2.022,82.05,7.947,1.009,101.83,3.373,61.11,54.91,0.147,0,0,,25,0,63,critical
2020-12-26,785,0,5.3,18.85,61.3,1.977,83.07,7.915,1.004,99.48,3.377,63.4,55.29,0.152,1,0,,24,0,64,critical
2020-12-27,786,0,10.9,14.57,50.5,2.064,80.75,8.069,1.003,100.9,3.417,60.6,54.89,0.157,1,0,,23,0,65,critical
2020-12-28,787,0,3.7,19.5,66.4,2.027,84.21,8.094,1.01,101.7,3.378,62.45,54.46,0.107,0,0,,22,0,66,critical
2020-12-29,788,0,15.8,11.73,64.5,1.976,81.54,8.005,0.994,99.74,3.368,61.34,54.15,0.137,0,0,,21,0,67,critical
2020-12-30,789,0,1.8,24.3,62.9,2.068,87.76,7.992,1.004,100.94,3.314,61.31,54.34,0.164,1,0,,20,0,68,critical
2020-12-31,790,0,1.2,10.97,52.8,1.944,80.06,8.058,0.995,100.03,3.349,62.05,55.1,0.154,1,0,,19,0,69,critical
2021-01-01,791,0,19.8,18.32,59.3,2.014,83.28,8.044,1.019,98.97,3.372,62.96,55.7,0.103,0,0,,18,0,70,critical
2021-01-02,792,0,3.0,14.86,51.1,1.952,81.81,7.992,1.011,100.81,3.322,63.13,55.14,0.109,0,0,,17,0,71,critical
