day_index,sand_storm_flag,ambient_temperature_c,humidity_percent,vibration_rms_mm_s,discharge_temperature_c,discharge_pressure_bar,suction_pressure_bar,flow_rate_m3_min,bearing_oil_pressure_bar,bearing_oil_temperature_c,casing_temperature_c,dp_filter_bar,high_dp_alarm,failure,TTF_days,maintenance_oil_change,days_since_oil_change,health_state
481,0,24.44,56.0,2.004,87.07,8.078,1.007,101.71,3.254,64.43,54.36,0.05,0,0,238.0,0,120,normal
482,0,18.82,51.2,2.02,84.25,7.965,0.996,99.34,3.255,62.64,55.12,0.05,0,0,237.0,0,121,normal
483,0,16.38,46.3,2.065,82.28,7.999,1.002,99.09,3.284,62.57,55.2,0.05,0,0,236.0,0,122,normal
484,0,21.77,57.0,2.048,86.61,8.013,1.008,101.75,3.236,63.22,54.04,0.05,0,0,235.0,0,123,normal
485,0,27.78,48.7,2.084,88.54,8.042,1.003,98.17,3.235,64.45,54.52,0.05,0,0,234.0,0,124,normal
486,0,20.97,42.9,2.009,84.23,7.955,0.987,99.36,3.307,62.5,56.52,0.05,0,0,233.0,0,125,normal
487,0,19.61,47.9,2.044,83.84,8.008,1.013,99.53,3.257,63.56,54.17,0.05,0,0,232.0,0,126,normal
488,0,23.57,40.0,2.047,85.79,7.955,1.0,100.54,3.235,64.59,54.94,0.05,0,0,231.0,0,127,normal
489,0,25.72,47.4,1.812,87.71,7.979,0.989,100.56,3.194,62.98,55.34,0.05,0,0,230.0,0,128,normal
490,0,24.97,40.0,2.014,87.8,7.967,1.013,98.66,3.206,63.61,55.99,0.05,0,0,229.0,0,129,normal
491,0,21.57,37.4,2.006,85.66,8.079,0.998,98.48,3.255,64.45,55.08,0.05,0,0,228.0,0,130,normal
492,0,16.65,37.2,2.005,83.98,8.069,0.992,101.38,3.241,63.87,53.94,0.05,0,0,227.0,0,131,normal
493,0,20.71,52.3,1.941,85.82,8.068,0.999,99.2,3.242,63.91,55.53,0.05,0,0,226.0,0,132,normal
494,0,20.58,52.8,2.01,85.74,8.025,0.988,99.4,3.248,64.12,54.88,0.05,0,0,225.0,0,133,normal
495,0,27.11,44.2,2.096,89.6,7.98,0.998,100.44,3.193,65.56,54.53,0.05,0,0,224.0,0,134,normal
496,0,25.26,35.5,1.941,89.14,7.93,1.006,100.0,3.21,64.74,54.76,0.05,0,0,223.0,0,135,normal
497,0,26.28,54.0,1.946,87.47,7.939,0.997,100.2,3.243,64.31,54.42,0.05,0,0,222.0,0,136,normal
498,0,22.35,50.1,1.962,86.49,7.979,0.985,102.47,3.247,64.49,55.02,0.05,0,0,221.0,0,137,normal
499,0,30.17,42.7,2.072,90.33,7.97,1.005,100.81,3.191,64.18,55.47,0.05,0,0,220.0,0,138,normal
500,0,26.83,51.1,2.077,88.54,8.041,1.015,99.57,3.172,64.0,55.41,0.05,0,0,219.0,0,139,normal
501,0,23.77,47.8,2.011,85.58,8.001,1.006,99.73,3.23,64.63,55.19,0.05,0,0,218.0,0,140,normal
502,0,21.38,49.8,2.057,86.65,8.044,0.987,102.19,3.254,64.05,54.57,0.05,0,0,217.0,0,141,normal
503,0,25.98,54.3,2.053,87.13,7.973,1.006,101.18,3.157,65.48,54.59,0.05,0,0,216.0,0,142,normal
504,0,23.45,39.8,2.03,87.42,8.035,1.003,100.92,3.229,63.86,54.71,0.05,0,0,215.0,0,143,normal
505,0,22.03,54.4,2.004,86.8,7.979,1.013,101.4,3.146,64.68,55.18,0.05,0,0,214.0,0,144,normal
506,0,18.76,50.7,1.981,83.69,7.901,0.993,99.58,3.136,65.59,55.22,0.05,0,0,213.0,0,145,normal
507,0,29.01,47.0,1.96,89.85,8.137,0.991,100.56,3.16,64.21,55.56,0.05,0,0,212.0,0,146,normal
508,0,29.23,37.0,2.03,90.74,8.015,0.985,100.4,3.177,64.65,55.53,0.05,0,0,211.0,0,147,normal
509,0,23.84,45.4,2.053,86.08,8.066,0.994,101.88,3.259,64.02,55.1,0.05,0,0,210.0,0,148,normal
510,0,21.2,37.7,2.011,84.55,7.987,0.991,101.38,3.183,64.63,55.15,0.05,0,0,209.0,0,149,normal
511,0,25.39,52.5,1.944,88.16,8.028,1.011,98.09,3.159,63.13,55.85,0.05,0,0,208.0,0,150,normal
512,0,22.79,49.2,1.962,86.52,8.005,1.012,100.95,3.227,64.59,55.87,0.05,0,0,207.0,0,151,normal
513,0,21.01,53.2,1.959,85.43,7.969,1.009,102.08,3.232,65.27,55.08,0.05,0,0,206.0,0,152,normal
514,0,22.15,36.0,1.961,85.78,7.943,1.014,99.79,3.21,65.06,55.04,0.05,0,0,205.0,0,153,normal
515,0,25.83,49.5,2.003,87.71,8.002,0.997,99.36,3.177,63.64,54.62,0.05,0,0,204.0,0,154,normal
516,0,27.24,31.4,2.041,88.18,8.062,1.019,99.35,3.217,64.62,55.05,0.05,0,0,203.0,0,155,normal
517,0,23.21,44.9,1.981,86.46,7.981,1.009,100.72,3.163,65.49,54.83,0.05,0,0,202.0,0,156,normal
518,0,26.7,47.0,2.009,88.08,8.019,1.012,99.25,3.179,64.97,55.71,0.05,0,0,201.0,0,157,normal
519,0,29.25,41.6,1.928,88.8,8.022,0.997,99.52,3.215,63.73,55.36,0.05,0,0,200.0,0,158,normal
520,0,28.72,49.2,1.965,89.81,8.031,1.002,97.97,3.164,66.0,55.33,0.05,0,0,199.0,0,159,normal
521,0,22.85,32.1,1.979,86.66,7.985,0.987,100.3,3.191,65.57,53.53,0.05,0,0,198.0,0,160,normal
522,0,32.03,42.8,2.04,91.34,8.025,1.005,98.97,3.178,64.8,55.13,0.05,0,0,197.0,0,161,normal
523,0,29.62,36.6,2.096,89.41,7.968,0.977,98.33,3.155,64.66,54.86,0.05,0,0,196.0,0,162,normal
524,0,30.92,42.4,2.014,89.21,8.001,1.007,101.2,3.149,64.43,54.67,0.05,0,0,195.0,0,163,normal
525,0,26.86,44.8,1.923,88.87,8.045,1.019,100.33,3.156,65.25,54.81,0.05,0,0,194.0,0,164,normal
526,0,31.53,34.3,1.943,92.67,8.046,1.009,100.27,3.163,63.88,54.98,0.05,0,0,193.0,0,165,normal
527,0,28.84,47.8,1.999,88.52,7.983,1.01,99.7,3.171,65.07,54.99,0.05,0,0,192.0,0,166,normal
528,0,21.09,31.4,2.05,86.17,7.953,0.997,101.18,3.182,65.92,54.41,0.05,0,0,191.0,0,167,normal
529,0,25.49,30.1,2.017,89.22,8.03,1.001,97.51,3.17,64.94,54.95,0.05,0,0,190.0,0,168,normal
530,0,27.75,39.9,2.074,88.47,8.03,1.01,101.48,3.165,64.76,54.86,0.05,0,0,189.0,0,169,normal
531,0,29.67,32.4,2.002,90.22,8.013,0.983,102.19,3.106,66.01,55.31,0.05,0,0,188.0,0,170,normal
532,0,22.38,41.3,1.94,86.69,8.056,1.018,100.42,3.188,64.87,55.11,0.05,0,0,187.0,0,171,normal
533,0,24.73,31.3,2.027,87.4,8.009,1.0,98.92,3.113,64.42,54.46,0.05,0,0,186.0,0,172,normal
534,0,24.72,38.4,2.125,87.75,8.071,0.993,99.76,3.163,64.36,55.38,0.05,0,0,185.0,0,173,normal
535,0,22.84,36.5,2.054,85.76,8.021,1.008,97.76,3.134,64.78,55.62,0.05,0,0,184.0,0,174,normal
536,0,27.69,30.5,2.014,89.06,7.899,0.994,100.28,3.156,66.06,55.43,0.05,0,0,183.0,0,175,normal
537,0,31.21,44.1,1.938,89.65,7.991,0.992,98.59,3.142,64.13,54.54,0.05,0,0,182.0,0,176,normal
538,0,23.84,36.8,2.02,85.03,7.963,1.003,99.88,3.112,65.15,55.44,0.05,0,0,181.0,0,177,normal
539,0,28.96,42.3,2.038,90.45,7.985,0.981,100.78,3.133,66.27,53.48,0.05,0,0,180.0,0,178,normal
540,0,23.75,43.5,1.985,86.89,8.1,0.98,99.94,3.16,65.75,54.25,0.05,0,0,179.0,0,179,normal
541,0,31.22,48.1,1.981,90.84,7.942,1.007,97.55,3.558,60.25,54.86,0.05,0,0,178.0,1,0,normal
542,0,25.76,39.4,1.985,87.42,8.037,0.997,99.68,3.57,59.36,55.17,0.05,0,0,177.0,0,1,normal
543,0,30.61,41.3,2.067,89.81,7.989,0.996,100.66,3.48,61.79,53.88,0.05,0,0,176.0,0,2,normal
544,0,27.18,49.5,1.972,88.62,7.979,0.993,100.14,3.512,60.27,54.01,0.05,0,0,175.0,0,3,normal
545,0,27.82,34.4,1.938,88.74,8.063,1.009,99.52,3.482,60.81,54.65,0.05,0,0,174.0,0,4,normal
546,0,30.85,39.3,2.002,89.65,8.018,0.994,99.59,3.469,60.34,54.09,0.05,0,0,173.0,0,5,normal
547,0,33.51,36.0,2.084,90.61,7.957,0.999,100.04,3.446,60.93,54.59,0.05,0,0,172.0,0,6,normal
548,0,35.19,41.5,2.093,90.46,8.024,1.015,100.37,3.535,60.63,55.44,0.05,0,0,171.0,0,7,normal
549,0,35.36,49.5,2.025,90.4,7.887,1.002,99.08,3.521,61.09,55.63,0.05,0,0,170.0,0,8,normal
550,0,38.41,46.7,1.946,93.99,7.959,0.987,100.49,3.501,59.88,54.97,0.05,0,0,169.0,0,9,normal
551,0,35.01,44.8,1.943,93.35,7.933,0.993,99.01,3.436,59.76,53.45,0.05,0,0,168.0,0,10,normal
552,0,36.33,47.2,2.009,92.21,7.975,1.018,98.65,3.442,60.33,54.59,0.05,0,0,167.0,0,11,normal
553,0,34.61,43.5,1.966,92.89,8.074,0.973,100.41,3.478,60.47,54.84,0.05,0,0,166.0,0,12,normal
554,0,34.16,37.5,1.913,92.2,7.959,1.015,99.34,3.484,60.77,55.77,0.05,0,0,165.0,0,13,normal
555,0,36.64,47.5,2.006,91.29,7.992,0.997,100.15,3.472,61.2,54.85,0.05,0,0,164.0,0,14,normal
556,0,38.25,41.7,1.987,92.31,8.009,1.018,100.86,3.474,60.8,55.46,0.05,0,0,163.0,0,15,normal
557,0,36.08,48.6,2.003,93.29,7.928,1.016,100.69,3.476,60.37,53.88,0.05,0,0,162.0,0,16,normal
558,0,34.97,45.6,2.031,92.8,7.99,1.005,100.89,3.458,61.23,54.22,0.05,0,0,161.0,0,17,normal
559,0,35.08,46.4,1.97,92.87,8.013,0.99,100.44,3.432,60.89,55.04,0.05,0,0,160.0,0,18,normal
560,1,31.24,38.4,2.139,93.53,7.964,0.988,99.18,3.434,61.07,54.99,0.088,0,0,159.0,0,19,normal
561,0,32.57,41.4,1.996,89.97,8.066,1.003,100.39,3.435,59.94,55.96,0.05,0,0,158.0,0,20,normal
562,0,36.01,44.5,2.044,93.05,7.959,1.021,98.05,3.499,60.05,55.25,0.05,0,0,157.0,0,21,normal
563,0,31.19,53.5,2.021,89.41,7.957,1.015,100.46,3.427,60.42,54.09,0.05,0,0,156.0,0,22,normal
564,0,33.12,42.6,2.051,91.24,7.945,0.992,98.71,3.482,60.75,55.22,0.05,0,0,155.0,0,23,normal
565,0,29.35,40.1,2.033,90.2,7.961,1.007,99.08,3.459,60.53,53.86,0.05,0,0,154.0,0,24,normal
566,1,35.94,35.6,2.11,95.17,8.083,0.99,95.38,3.449,61.0,55.27,0.087,0,0,153.0,0,25,normal
567,0,36.69,48.6,1.949,94.17,7.895,0.996,100.08,3.401,60.62,55.11,0.05,0,0,152.0,0,26,normal
568,1,43.18,43.7,2.19,100.06,7.934,0.972,98.67,3.442,59.83,54.55,0.081,0,0,151.0,0,27,normal
569,0,36.65,54.2,2.105,93.45,7.99,1.005,99.87,3.45,61.58,54.58,0.05,0,0,150.0,0,28,normal
570,0,33.92,41.3,1.961,90.41,8.009,1.0,98.05,3.416,61.78,55.14,0.05,0,0,149.0,0,29,normal
571,0,31.98,44.7,2.011,91.31,8.026,0.983,99.17,3.464,60.17,54.34,0.05,0,0,148.0,0,30,normal
572,0,37.23,42.7,1.986,93.92,7.917,0.992,98.08,3.407,60.94,54.47,0.05,0,0,147.0,0,31,normal
573,0,30.1,38.7,1.982,91.17,8.015,1.0,101.94,3.453,60.28,54.44,0.05,0,0,146.0,0,32,normal
574,0,33.22,42.5,2.032,91.79,7.981,0.996,101.61,3.436,61.6,54.66,0.05,0,0,145.0,0,33,normal
575,0,38.04,52.7,2.056,93.52,7.981,1.0,100.42,3.449,60.41,54.5,0.05,0,0,144.0,0,34,normal
576,0,34.97,48.7,1.99,93.74,7.908,1.007,98.76,3.453,61.46,54.91,0.05,0,0,143.0,0,35,normal
577,1,34.8,47.7,2.01,93.25,7.974,0.974,97.76,3.406,60.73,56.17,0.071,0,0,142.0,0,36,normal
578,0,40.18,50.7,1.98,95.32,8.024,1.004,97.94,3.411,61.49,54.63,0.05,0,0,141.0,0,37,normal
579,0,35.65,48.1,2.068,93.58,7.969,1.013,99.39,3.476,61.41,55.94,0.05,0,0,140.0,0,38,normal
580,0,33.48,47.1,2.034,90.75,8.089,0.998,101.88,3.425,61.86,54.32,0.05,0,0,139.0,0,39,normal
581,0,39.92,51.2,1.949,94.42,7.976,0.987,98.11,3.371,60.8,54.95,0.05,0,0,138.0,0,40,normal
582,0,42.13,56.4,1.998,96.29,8.009,1.004,101.82,3.399,60.05,53.89,0.05,0,0,137.0,0,41,normal
583,0,37.21,41.0,1.929,94.16,7.931,1.0,100.19,3.371,60.19,55.61,0.05,0,0,136.0,0,42,normal
584,0,36.25,45.6,1.996,93.94,8.054,1.014,99.55,3.452,61.75,54.39,0.05,0,0,135.0,0,43,normal
585,0,34.64,44.0,2.058,91.62,7.947,1.0,100.17,3.397,61.02,55.26,0.05,0,0,134.0,0,44,normal
586,0,39.11,59.4,1.985,94.96,7.964,1.008,100.32,3.367,62.05,54.59,0.05,0,0,133.0,0,45,normal
587,1,38.86,52.4,2.003,96.59,7.991,0.966,97.41,3.397,63.63,54.5,0.072,0,0,132.0,0,46,normal
588,0,39.86,59.4,2.016,95.1,8.061,1.002,99.48,3.357,60.94,54.42,0.05,0,0,131.0,0,47,normal
589,0,40.08,46.0,1.983,96.05,8.014,1.011,100.29,3.383,60.48,55.22,0.05,0,0,130.0,0,48,normal
590,0,42.79,58.1,1.948,96.25,7.945,0.999,99.05,3.423,62.1,53.56,0.05,0,0,129.0,0,49,normal
591,0,40.04,50.9,1.92,93.37,7.98,1.005,100.09,3.37,60.43,54.12,0.05,0,0,128.0,0,50,normal
592,0,38.78,56.0,1.972,94.71,8.051,0.997,100.12,2.174,61.64,53.87,0.05,0,0,127.0,0,51,normal
593,0,35.05,49.9,2.128,93.26,8.094,0.984,99.19,3.378,62.54,55.53,0.05,0,0,126.0,0,52,normal
594,0,37.97,44.3,1.986,95.39,7.936,0.986,99.58,3.395,62.31,55.5,0.05,0,0,125.0,0,53,normal
595,0,34.81,48.3,1.989,93.52,8.021,1.002,98.64,3.436,61.8,55.83,0.05,0,0,124.0,0,54,normal
596,0,37.53,42.9,1.999,94.91,8.031,0.986,99.18,3.406,61.0,54.98,0.05,0,0,123.0,0,55,normal
597,0,35.6,46.8,1.956,91.55,8.05,0.992,101.27,3.364,61.19,54.83,0.05,0,0,122.0,0,56,normal
598,0,39.41,40.7,1.983,93.57,7.872,1.005,99.75,3.418,62.17,53.55,0.05,0,0,121.0,0,57,normal
599,0,36.93,52.8,2.054,95.37,7.985,0.997,100.07,3.363,61.78,55.81,0.13,0,0,120.0,0,58,early_warning
600,0,39.97,59.6,2.039,94.47,8.03,1.017,98.49,3.364,62.14,54.74,0.12,0,0,119.0,0,59,early_warning
601,1,35.56,50.0,1.996,93.92,8.035,1.018,99.09,3.346,62.36,56.27,0.188,1,0,118.0,0,60,early_warning
602,0,36.13,45.1,2.013,93.24,7.976,0.993,98.53,3.374,62.1,56.08,0.149,0,0,117.0,0,61,early_warning
603,0,34.04,41.0,2.018,93.26,8.031,0.998,99.76,3.411,61.33,54.9,0.144,0,0,116.0,0,62,early_warning
604,0,35.63,53.0,2.038,93.59,7.923,1.005,99.77,3.408,61.62,54.58,0.166,1,0,115.0,0,63,early_warning
605,1,39.15,54.1,2.066,94.21,8.01,0.984,97.19,3.348,62.37,54.15,0.182,1,0,114.0,0,64,early_warning
606,0,38.32,47.9,1.982,95.31,7.989,1.002,101.22,3.344,62.11,55.66,0.159,1,0,113.0,0,65,early_warning
607,0,39.38,55.7,1.97,94.81,7.912,1.0,98.71,3.36,62.33,55.26,0.149,0,0,112.0,0,66,early_warning
608,0,40.65,72.3,2.051,97.8,7.922,0.999,98.76,3.469,63.64,54.85,0.134,0,0,111.0,0,67,early_warning
609,0,33.6,68.8,1.92,90.41,8.06,1.012,99.13,3.339,62.24,54.28,0.101,0,0,110.0,0,68,early_warning
610,0,40.68,77.3,3.059,94.92,7.935,1.002,98.38,3.355,62.5,55.4,0.143,0,0,109.0,0,69,early_warning
611,0,36.99,79.3,2.018,95.38,7.905,1.005,99.95,3.409,62.48,54.35,0.168,1,0,108.0,0,70,early_warning
612,1,40.71,73.1,1.987,96.69,7.904,0.983,97.22,3.328,63.43,54.91,0.191,1,0,107.0,0,71,early_warning
613,0,37.06,74.0,1.958,96.06,8.022,1.017,100.06,3.336,61.84,54.07,0.104,0,0,106.0,0,72,early_warning
614,0,41.75,74.2,2.024,96.18,8.052,0.99,101.57,3.391,62.87,55.4,0.123,0,0,105.0,0,73,early_warning
615,1,40.2,75.7,1.981,97.38,7.967,0.963,98.13,3.337,63.53,55.4,0.146,0,0,104.0,0,74,early_warning
616,0,36.73,61.7,2.003,94.61,7.946,1.01,100.35,3.356,62.93,53.69,0.159,1,0,103.0,0,75,early_warning
617,0,36.92,69.4,2.059,93.1,7.944,1.003,98.55,3.327,63.14,54.9,0.131,0,0,102.0,0,76,early_warning
618,0,39.33,68.3,2.046,95.4,7.974,1.001,100.92,3.37,61.86,54.44,0.112,0,0,101.0,0,77,early_warning
619,0,41.67,72.3,2.045,95.21,8.08,1.005,97.88,3.369,61.74,55.33,0.113,0,0,100.0,0,78,early_warning
620,0,36.03,65.7,1.996,93.56,8.006,1.008,100.3,3.345,60.38,55.59,0.139,0,0,99.0,0,79,early_warning
621,0,39.68,75.2,1.98,94.44,8.045,0.983,102.03,3.342,62.45,55.29,0.162,1,0,98.0,0,80,early_warning
622,0,44.88,59.8,2.05,98.18,8.032,1.011,99.74,3.386,63.26,55.62,0.155,1,0,97.0,0,81,early_warning
623,0,41.15,68.1,2.058,95.69,7.976,1.014,99.48,3.312,63.06,55.61,0.132,0,0,96.0,0,82,early_warning
624,0,39.5,69.9,2.05,95.01,8.029,0.998,100.03,3.353,61.86,54.76,0.108,0,0,95.0,0,83,early_warning
625,0,36.01,61.6,2.021,92.33,8.078,0.994,100.25,3.316,62.68,54.47,0.138,0,0,94.0,0,84,early_warning
626,0,39.74,67.3,1.932,94.99,7.995,0.979,99.4,3.266,62.5,54.74,0.112,0,0,93.0,0,85,early_warning
627,0,39.55,61.8,2.062,96.49,7.947,1.005,100.1,3.293,62.59,55.68,0.144,0,0,92.0,0,86,early_warning
628,0,35.49,75.4,2.036,91.67,7.969,1.019,100.15,3.328,63.41,54.85,0.162,1,0,91.0,0,87,early_warning
629,0,38.3,61.0,2.016,95.46,7.923,1.01,100.36,3.3,62.1,55.09,0.153,1,0,90.0,0,88,early_warning
630,1,42.15,79.0,2.121,96.76,7.983,0.983,96.99,3.321,63.31,54.42,0.165,1,0,89.0,0,89,early_warning
631,0,35.91,78.0,2.06,93.21,8.016,0.979,101.12,3.317,63.54,55.48,0.164,1,0,88.0,0,90,early_warning
632,0,36.24,57.9,2.022,93.99,8.055,0.995,98.92,3.268,63.15,54.31,0.13,0,0,87.0,0,91,early_warning
633,0,39.34,59.1,1.988,95.04,8.054,0.998,100.69,3.311,62.59,55.09,0.146,0,0,86.0,0,92,early_warning
634,1,42.33,76.5,2.137,97.86,8.13,0.995,96.8,3.316,62.29,54.72,0.179,1,0,85.0,0,93,early_warning
635,0,36.04,59.8,2.054,92.26,8.028,0.996,98.9,3.252,62.92,54.52,0.162,1,0,84.0,0,94,early_warning
636,0,35.77,78.8,2.015,92.62,8.127,0.982,99.48,3.237,63.22,53.47,0.112,0,0,83.0,0,95,early_warning
637,1,37.9,77.0,2.101,97.25,7.975,0.993,95.8,3.301,64.08,55.66,0.187,1,0,82.0,0,96,early_warning
638,0,40.3,70.2,1.928,95.74,8.079,0.994,98.53,3.274,62.01,55.74,0.137,0,0,81.0,0,97,early_warning
639,0,40.7,75.4,1.998,96.34,8.121,1.015,98.86,3.272,63.6,55.14,0.137,0,0,80.0,0,98,early_warning
640,0,38.13,72.4,2.015,93.93,7.87,0.996,100.73,3.295,63.76,54.91,0.158,1,0,79.0,0,99,early_warning
641,0,40.89,80.2,1.997,96.69,8.034,1.001,101.71,3.297,61.92,54.49,0.166,1,0,78.0,0,100,early_warning
642,0,42.52,93.3,1.905,96.48,7.981,0.988,99.61,3.351,63.29,54.09,0.168,1,0,77.0,0,101,early_warning
643,0,35.54,66.1,2.018,92.76,8.04,0.998,101.01,3.261,63.97,54.51,0.158,1,0,76.0,0,102,early_warning
644,0,35.44,91.7,2.098,92.95,7.922,1.001,101.86,3.276,62.69,55.08,0.14,0,0,75.0,0,103,early_warning
645,0,39.03,71.5,2.034,94.13,8.04,0.997,102.22,3.324,63.82,55.02,0.16,1,0,74.0,0,104,early_warning
646,0,35.9,92.7,1.917,94.48,7.976,0.998,99.96,3.306,63.27,55.38,0.124,0,0,73.0,0,105,early_warning
647,0,37.36,73.4,1.967,93.49,7.972,0.99,101.46,3.287,63.85,53.94,0.105,0,0,72.0,0,106,early_warning
648,0,42.22,73.3,1.994,97.28,8.028,0.993,100.78,3.279,63.39,54.27,0.136,0,0,71.0,0,107,early_warning
649,0,37.75,81.1,1.959,92.61,8.034,1.002,100.51,3.279,63.72,55.54,0.116,0,0,70.0,0,108,early_warning
650,0,37.89,83.9,1.996,93.65,8.09,0.996,100.82,3.258,62.9,55.15,0.147,0,0,69.0,0,109,early_warning
651,0,43.4,85.1,2.0,96.31,7.957,1.013,100.3,3.294,63.51,55.5,0.11,0,0,68.0,0,110,early_warning
652,0,42.95,70.1,2.102,96.15,7.939,1.002,98.61,3.36,64.36,54.35,0.16,1,0,67.0,0,111,early_warning
653,0,40.84,88.1,2.005,94.29,8.022,1.011,100.28,3.274,63.26,55.35,0.165,1,0,66.0,0,112,early_warning
654,0,38.62,92.5,2.046,94.5,8.015,1.011,98.9,3.268,64.19,54.74,0.133,0,0,65.0,0,113,early_warning
655,0,37.82,66.0,2.027,93.79,7.935,1.003,100.63,3.247,63.22,55.45,0.126,0,0,64.0,0,114,early_warning
656,0,45.79,73.3,2.053,96.85,7.998,1.003,98.57,3.294,63.6,54.91,0.14,0,0,63.0,0,115,early_warning
657,0,40.4,68.0,2.007,93.35,8.007,0.985,99.93,3.255,63.76,54.35,0.105,0,0,62.0,0,116,early_warning
658,0,45.96,68.3,1.954,98.85,7.96,1.006,98.77,3.206,63.36,55.6,0.135,0,0,61.0,0,117,early_warning
659,0,41.35,88.7,1.99,97.05,7.966,0.998,101.71,3.286,62.8,55.67,0.134,0,0,60.0,0,118,early_warning
660,0,37.85,87.0,2.082,94.03,7.984,0.984,98.81,3.291,63.46,55.0,0.156,1,0,59.0,0,119,early_warning
661,0,36.32,73.4,2.011,93.45,8.014,0.986,100.97,3.243,63.92,54.68,0.139,0,0,58.0,0,120,early_warning
662,0,40.63,71.8,1.949,95.91,8.017,0.996,100.64,3.253,63.72,54.66,0.12,0,0,57.0,0,121,early_warning
663,0,41.46,70.9,1.998,95.98,8.132,1.012,101.38,3.296,62.08,54.75,0.13,0,0,56.0,0,122,early_warning
664,0,41.46,82.5,2.003,95.72,7.991,0.99,100.18,3.271,63.79,56.3,0.159,1,0,55.0,0,123,early_warning
665,0,34.87,93.6,1.925,90.91,7.979,0.99,99.44,3.29,64.11,54.47,0.128,0,0,54.0,0,124,early_warning
666,0,44.23,75.3,2.04,95.9,7.977,1.011,98.56,3.281,63.0,55.1,0.124,0,0,53.0,0,125,early_warning
667,1,37.09,87.2,2.037,92.91,7.944,1.005,97.14,3.147,64.9,54.86,0.18,1,0,52.0,0,126,early_warning
668,0,41.78,69.6,2.003,96.05,7.995,0.991,100.4,3.222,63.99,54.11,0.144,0,0,51.0,0,127,early_warning
669,0,35.36,76.8,2.038,91.28,7.966,1.009,100.44,3.209,63.78,55.61,0.165,1,0,50.0,0,128,early_warning
670,0,31.39,82.1,1.995,91.13,8.113,0.992,99.57,3.253,63.63,53.95,0.116,0,0,49.0,0,129,early_warning
671,0,38.77,62.0,2.057,94.01,7.956,0.997,100.08,3.201,63.99,54.63,0.128,0,0,48.0,0,130,early_warning
672,0,36.63,73.6,2.032,91.17,7.998,0.997,100.99,3.221,64.11,55.41,0.167,1,0,47.0,0,131,early_warning
673,0,36.84,83.8,1.993,94.42,7.966,0.994,100.0,3.228,65.89,55.0,0.126,0,0,46.0,0,132,early_warning
674,0,39.27,82.3,2.011,93.61,8.006,0.997,100.81,3.194,63.56,55.95,0.134,0,0,45.0,0,133,early_warning
675,0,38.36,82.6,1.9,93.01,7.963,1.022,99.39,3.21,64.92,54.43,0.162,1,0,44.0,0,134,early_warning
676,0,42.75,61.9,2.067,96.52,8.012,0.994,100.88,3.175,63.09,54.81,0.163,1,0,43.0,0,135,early_warning
677,0,32.73,61.2,1.989,91.48,7.986,1.025,98.86,3.196,64.78,55.88,0.153,1,0,42.0,0,136,early_warning
678,0,37.79,78.2,2.04,94.6,7.951,0.986,99.98,3.207,64.56,55.09,0.108,0,0,41.0,0,137,early_warning
679,0,42.89,83.8,1.965,93.34,8.017,0.998,101.66,3.205,64.14,54.24,0.105,0,0,40.0,0,138,early_warning
680,0,37.8,67.8,2.095,94.3,7.991,1.0,99.4,3.264,64.76,54.57,0.145,0,0,39.0,0,139,early_warning
681,0,37.09,68.7,2.019,92.61,7.999,1.008,99.91,3.227,62.97,55.74,0.144,0,0,38.0,0,140,early_warning
682,0,40.74,80.8,1.984,96.78,8.03,1.011,97.67,3.185,63.42,56.12,0.145,0,0,37.0,0,141,early_warning
683,0,36.13,63.8,1.888,92.91,7.942,1.001,99.31,3.212,65.0,56.34,0.128,0,0,36.0,0,142,early_warning
684,1,38.91,80.9,1.996,95.26,8.016,0.972,97.97,3.186,65.3,55.49,0.141,0,0,35.0,0,143,early_warning
685,0,39.13,58.2,1.997,93.54,8.022,1.013,99.47,3.21,64.82,55.01,0.165,1,0,34.0,0,144,early_warning
686,0,38.44,63.1,1.994,96.15,7.945,0.995,97.66,3.195,63.96,55.82,0.103,0,0,33.0,0,145,early_warning
687,0,39.96,59.4,2.079,94.38,8.091,0.987,100.25,3.206,64.32,55.05,0.162,1,0,32.0,0,146,early_warning
688,0,43.12,68.5,1.958,95.05,8.013,0.993,99.71,3.22,64.35,55.21,0.166,1,0,31.0,0,147,early_warning
689,0,40.21,65.2,1.968,95.5,8.009,1.004,100.54,3.216,63.2,54.21,0.117,0,0,30.0,0,148,critical
690,0,39.23,75.9,2.038,95.63,8.063,1.007,100.29,3.177,63.26,55.57,0.127,0,0,29.0,0,149,critical
691,0,37.71,79.4,1.986,94.13,8.0,1.011,100.81,3.188,64.2,54.35,0.124,0,0,28.0,0,150,critical
692,0,39.48,65.2,2.126,94.55,7.991,0.994,98.53,3.12,65.48,55.28,0.127,0,0,27.0,0,151,critical
693,0,33.29,79.9,1.992,90.64,8.043,1.003,99.51,3.237,63.8,55.74,0.124,0,0,26.0,0,152,critical
694,0,34.0,72.8,1.976,92.08,7.947,0.99,99.68,3.197,65.71,54.99,0.144,0,0,25.0,0,153,critical
695,0,36.85,55.9,2.029,92.38,8.074,1.015,101.28,3.188,63.96,53.68,0.169,1,0,24.0,0,154,critical
696,0,33.97,59.0,2.055,91.39,8.044,0.989,101.26,3.221,63.25,54.8,0.115,0,0,23.0,0,155,critical
